date,site,revenue,pageviews,cpm
21-10-2016,hornsports,0.037423624,189,0.198008594
21-10-2016,tigernet,0.393250097,2967,0.13254132
21-10-2016,projectspurs,0.34840142,1008,0.345636329
21-10-2016,videocelts,0.327835386,8215,0.039906925
21-10-2016,sportsdaily,1.088612698,227,4.795650652
21-10-2016,angelswin,0.537097397,1127,0.476572668
21-10-2016,wearewearside,0.027142096,279,0.097283499
21-10-2016,mynhltraderumors,1.518686479,5773,0.263067119
21-10-2016,rabidhabs,0.004571128,61,0.074936522
21-10-2016,foreverwestham,0.11051679,1077,0.102615404
21-10-2016,russellstreet,1.216268479,3264,0.372631274
21-10-2016,cardinalconnect,0.224049801,422,0.530923699
21-10-2016,royalsblue,0.001243829,58,0.02144532
21-10-2016,bluemoon-mcfc,4.623149664,36036,0.128292531
21-10-2016,lakersnation,29.9858107,35534,0.843862518
21-10-2016,buffalofambase,0.023204763,137,0.169377833
21-10-2016,justinbieber,0.027495924,11,2.499629467
21-10-2016,birdgang,0.00825545,29,0.284670704
21-10-2016,red94,0.057086769,119,0.479720747
22-10-2016,pittsburghsportsnow,8.851824253,13,680.9095579
22-10-2016,sfexaminer,0.022391647,3092,0.007241801
22-10-2016,thecelticblog,19.9076729,86,231.4845686
22-10-2016,lakersnation,80.61917478,56,1439.628121
22-10-2016,bluemoon-mcfc,21.10484637,70,301.4978053
22-10-2016,celticquicknews,14.04992702,157,89.489981
22-10-2016,opendota,10.12631082,11,920.5737107
22-10-2016,videocelts,14.85962413,32,464.3632541
23-10-2016,bluemoon-mcfc,32.18222462,16,2011.389039
23-10-2016,lakersnation,83.38966324,19,4388.929644
23-10-2016,sfexaminer,0.004577092,4253,0.001076203
23-10-2016,celticquicknews,25.52384998,42,607.7107139
23-10-2016,videocelts,28.42477449,24,1184.365604
23-10-2016,thecelticblog,7.10213333,16,443.8833331
24-10-2016,celticquicknews,30.99776058,14,2214.125756
24-10-2016,lakersnation,165.6782883,11,15061.66257
25-10-2016,cornellsun,0.020351083,71,0.286634977
25-10-2016,sixpackspeak,0.13298973,1676,0.079349481
25-10-2016,buffalofambase,0.068797444,45,1.528832096
25-10-2016,sfexaminer,1.339181705,7386,0.181313526
25-10-2016,starwarsnewsnet,0.000717648,406,0.001767605
25-10-2016,allhabs,0.295190219,95,3.107265467
25-10-2016,dailythunder,3.89998573,415,9.397555976
25-10-2016,red94,0.420409352,78,5.389863488
25-10-2016,opendota,9.300174074,17,547.0690632
26-10-2016,sfexaminer,2.955205016,5744,0.514485553
26-10-2016,celticquicknews,15.52869929,13,1194.51533
26-10-2016,buffalofambase,0.024148092,142,0.170056985
26-10-2016,dailythunder,2.119935838,2947,0.719353864
26-10-2016,allhabs,0.132993101,388,0.342765725
26-10-2016,cornellsun,0.118291222,73,1.620427692
26-10-2016,red94,0.256783087,313,0.820393251
26-10-2016,sixpackspeak,0.304892296,1312,0.23238742
27-10-2016,metschronicle,0.006771809,12,0.564317408
27-10-2016,sixpackspeak,0.813289377,1505,0.540391613
27-10-2016,dailythunder,4.256317109,3036,1.401948982
27-10-2016,red94,0.490653772,417,1.17662775
27-10-2016,cornellsun,0.218932624,105,2.085072611
27-10-2016,allhabs,0.302009878,523,0.577456745
27-10-2016,buffalofambase,0.111633465,246,0.453794573
27-10-2016,sfexaminer,6.622448507,6990,0.947417526
28-10-2016,mynhltraderumors,0.062380131,19,3.283164812
28-10-2016,cardinalconnect,0.618949876,206,3.004611051
28-10-2016,russellstreet,3.203516863,765,4.187603743
28-10-2016,angelswin,2.355881817,1098,2.145611855
28-10-2016,packinsider,0.826691013,185,4.46860007
28-10-2016,sportsdaily,3.203253214,301,10.64203726
28-10-2016,cornellsun,0.156234282,73,2.140195637
28-10-2016,welikela,0.449345083,7317,0.061411109
28-10-2016,tidefans,6.573029104,4713,1.394659262
28-10-2016,foreverwestham,1.201223553,1188,1.011130937
28-10-2016,buffalofambase,0.091746079,198,0.463364037
28-10-2016,opendota,8.902992614,1733,5.137329841
28-10-2016,chicitysports,0.42785936,338,1.265856095
28-10-2016,gunnersphere,1.287441062,465,2.768690456
28-10-2016,nothingbutnewcastle,1.110209808,399,2.782480721
28-10-2016,thecelticblog,18.89718882,6897,2.739914284
28-10-2016,pittsburghsportsnow,8.469541557,3234,2.618905862
28-10-2016,tennisguru,0.588889783,92,6.400975898
28-10-2016,allhabs,0.290741526,537,0.541418111
28-10-2016,bluemoon-mcfc,11.73182264,6588,1.780786678
28-10-2016,lakersnation,88.07543745,47561,1.851841581
28-10-2016,sfexaminer,5.731038731,6141,0.933241936
28-10-2016,totalbarca,0.601433637,84,7.159924255
28-10-2016,hoosierhuddle,0.019481735,99,0.196785205
28-10-2016,videocelts,22.94424646,3003,7.640441713
28-10-2016,tigernet,2.237291571,1289,1.73568004
28-10-2016,metschronicle,0.005061861,32,0.158183148
